n:1 mse_avg:1.64 mse_y:1.98 mse_u:1.17 mse_v:0.73 psnr_avg:45.99 psnr_y:45.17 psnr_u:47.46 psnr_v:49.49 
n:2 mse_avg:3.64 mse_y:4.82 mse_u:1.61 mse_v:0.95 psnr_avg:42.52 psnr_y:41.30 psnr_u:46.07 psnr_v:48.37 
n:3 mse_avg:9.15 mse_y:12.82 mse_u:2.09 mse_v:1.50 psnr_avg:38.52 psnr_y:37.05 psnr_u:44.93 psnr_v:46.36 
n:4 mse_avg:12.24 mse_y:17.15 mse_u:2.79 mse_v:2.03 psnr_avg:37.25 psnr_y:35.79 psnr_u:43.67 psnr_v:45.05 
n:5 mse_avg:11.54 mse_y:15.93 mse_u:3.18 mse_v:2.36 psnr_avg:37.51 psnr_y:36.11 psnr_u:43.11 psnr_v:44.41 
n:6 mse_avg:11.93 mse_y:16.36 mse_u:3.50 mse_v:2.63 psnr_avg:37.36 psnr_y:35.99 psnr_u:42.69 psnr_v:43.93 
n:7 mse_avg:12.30 mse_y:16.86 mse_u:3.62 mse_v:2.78 psnr_avg:37.23 psnr_y:35.86 psnr_u:42.54 psnr_v:43.69 
n:8 mse_avg:11.98 mse_y:16.33 mse_u:3.72 mse_v:2.83 psnr_avg:37.35 psnr_y:36.00 psnr_u:42.42 psnr_v:43.62 
n:9 mse_avg:11.99 mse_y:16.31 mse_u:3.81 mse_v:2.87 psnr_avg:37.34 psnr_y:36.01 psnr_u:42.32 psnr_v:43.56 
n:10 mse_avg:12.18 mse_y:16.61 mse_u:3.81 mse_v:2.85 psnr_avg:37.27 psnr_y:35.93 psnr_u:42.32 psnr_v:43.59 
n:11 mse_avg:4.12 mse_y:5.33 mse_u:2.12 mse_v:1.30 psnr_avg:41.98 psnr_y:40.87 psnr_u:44.86 psnr_v:46.98 
n:12 mse_avg:9.46 mse_y:13.16 mse_u:2.53 mse_v:1.61 psnr_avg:38.37 psnr_y:36.94 psnr_u:44.09 psnr_v:46.06 
n:13 mse_avg:10.24 mse_y:14.11 mse_u:3.03 mse_v:1.95 psnr_avg:38.03 psnr_y:36.64 psnr_u:43.32 psnr_v:45.24 
n:14 mse_avg:11.75 mse_y:16.15 mse_u:3.63 mse_v:2.25 psnr_avg:37.43 psnr_y:36.05 psnr_u:42.53 psnr_v:44.62 
