n:1 mse_avg:1.27 mse_y:1.54 mse_u:0.78 mse_v:0.67 psnr_avg:47.09 psnr_y:46.25 psnr_u:49.18 psnr_v:49.86 
n:2 mse_avg:2.15 mse_y:2.68 mse_u:1.25 mse_v:0.96 psnr_avg:44.80 psnr_y:43.85 psnr_u:47.17 psnr_v:48.33 
n:3 mse_avg:2.84 mse_y:3.69 mse_u:1.28 mse_v:0.97 psnr_avg:43.60 psnr_y:42.46 psnr_u:47.05 psnr_v:48.25 
n:4 mse_avg:2.52 mse_y:3.21 mse_u:1.30 mse_v:1.00 psnr_avg:44.11 psnr_y:43.07 psnr_u:46.98 psnr_v:48.11 
n:5 mse_avg:2.32 mse_y:2.95 mse_u:1.18 mse_v:0.94 psnr_avg:44.48 psnr_y:43.43 psnr_u:47.43 psnr_v:48.40 
n:6 mse_avg:2.21 mse_y:2.74 mse_u:1.30 mse_v:0.97 psnr_avg:44.69 psnr_y:43.75 psnr_u:46.98 psnr_v:48.25 
n:7 mse_avg:2.16 mse_y:2.71 mse_u:1.18 mse_v:0.92 psnr_avg:44.79 psnr_y:43.80 psnr_u:47.40 psnr_v:48.50 
n:8 mse_avg:2.10 mse_y:2.62 mse_u:1.17 mse_v:0.91 psnr_avg:44.92 psnr_y:43.94 psnr_u:47.44 psnr_v:48.55 
n:9 mse_avg:2.16 mse_y:2.73 mse_u:1.17 mse_v:0.91 psnr_avg:44.78 psnr_y:43.78 psnr_u:47.45 psnr_v:48.53 
n:10 mse_avg:2.05 mse_y:2.55 mse_u:1.16 mse_v:0.91 psnr_avg:45.02 psnr_y:44.06 psnr_u:47.49 psnr_v:48.55 
n:11 mse_avg:1.36 mse_y:1.64 mse_u:0.88 mse_v:0.74 psnr_avg:46.78 psnr_y:45.98 psnr_u:48.67 psnr_v:49.46 
n:12 mse_avg:1.97 mse_y:2.43 mse_u:1.19 mse_v:0.90 psnr_avg:45.18 psnr_y:44.27 psnr_u:47.37 psnr_v:48.56 
n:13 mse_avg:1.75 mse_y:2.16 mse_u:1.05 mse_v:0.83 psnr_avg:45.70 psnr_y:44.79 psnr_u:47.92 psnr_v:48.94 
n:14 mse_avg:2.06 mse_y:2.57 mse_u:1.17 mse_v:0.91 psnr_avg:44.99 psnr_y:44.03 psnr_u:47.44 psnr_v:48.52 
n:15 mse_avg:2.00 mse_y:2.51 mse_u:1.12 mse_v:0.88 psnr_avg:45.11 psnr_y:44.14 psnr_u:47.65 psnr_v:48.70 
n:16 mse_avg:1.99 mse_y:2.47 mse_u:1.16 mse_v:0.90 psnr_avg:45.15 psnr_y:44.21 psnr_u:47.49 psnr_v:48.59 
n:17 mse_avg:1.99 mse_y:2.49 mse_u:1.12 mse_v:0.86 psnr_avg:45.15 psnr_y:44.17 psnr_u:47.65 psnr_v:48.79 
n:18 mse_avg:1.99 mse_y:2.46 mse_u:1.17 mse_v:0.90 psnr_avg:45.15 psnr_y:44.21 psnr_u:47.43 psnr_v:48.61 
n:19 mse_avg:2.07 mse_y:2.59 mse_u:1.13 mse_v:0.89 psnr_avg:44.98 psnr_y:43.99 psnr_u:47.60 psnr_v:48.65 
n:20 mse_avg:2.08 mse_y:2.59 mse_u:1.18 mse_v:0.91 psnr_avg:44.96 psnr_y:43.99 psnr_u:47.41 psnr_v:48.53 
n:21 mse_avg:1.36 mse_y:1.63 mse_u:0.89 mse_v:0.76 psnr_avg:46.79 psnr_y:46.01 psnr_u:48.65 psnr_v:49.31 
n:22 mse_avg:1.99 mse_y:2.45 mse_u:1.16 mse_v:0.94 psnr_avg:45.15 psnr_y:44.23 psnr_u:47.47 psnr_v:48.40 
n:23 mse_avg:1.83 mse_y:2.25 mse_u:1.10 mse_v:0.85 psnr_avg:45.52 psnr_y:44.61 psnr_u:47.73 psnr_v:48.86 
n:24 mse_avg:2.01 mse_y:2.49 mse_u:1.19 mse_v:0.93 psnr_avg:45.09 psnr_y:44.17 psnr_u:47.37 psnr_v:48.46 
n:25 mse_avg:2.09 mse_y:2.63 mse_u:1.14 mse_v:0.90 psnr_avg:44.92 psnr_y:43.93 psnr_u:47.56 psnr_v:48.59 
n:26 mse_avg:2.45 mse_y:3.11 mse_u:1.25 mse_v:0.98 psnr_avg:44.25 psnr_y:43.20 psnr_u:47.17 psnr_v:48.21 
n:27 mse_avg:2.72 mse_y:3.50 mse_u:1.29 mse_v:0.99 psnr_avg:43.79 psnr_y:42.68 psnr_u:47.01 psnr_v:48.19 
n:28 mse_avg:3.16 mse_y:4.10 mse_u:1.45 mse_v:1.14 psnr_avg:43.13 psnr_y:42.01 psnr_u:46.51 psnr_v:47.57 
n:29 mse_avg:3.42 mse_y:4.49 mse_u:1.46 mse_v:1.14 psnr_avg:42.78 psnr_y:41.61 psnr_u:46.49 psnr_v:47.58 
n:30 mse_avg:3.96 mse_y:5.23 mse_u:1.60 mse_v:1.22 psnr_avg:42.15 psnr_y:40.94 psnr_u:46.08 psnr_v:47.28 
n:31 mse_avg:1.28 mse_y:1.56 mse_u:0.79 mse_v:0.68 psnr_avg:47.04 psnr_y:46.20 psnr_u:49.15 psnr_v:49.83 
n:32 mse_avg:2.91 mse_y:3.74 mse_u:1.41 mse_v:1.09 psnr_avg:43.49 psnr_y:42.40 psnr_u:46.65 psnr_v:47.74 
n:33 mse_avg:2.91 mse_y:3.80 mse_u:1.30 mse_v:0.98 psnr_avg:43.49 psnr_y:42.33 psnr_u:47.00 psnr_v:48.21 
n:34 mse_avg:3.07 mse_y:3.98 mse_u:1.41 mse_v:1.10 psnr_avg:43.26 psnr_y:42.13 psnr_u:46.63 psnr_v:47.71 
n:35 mse_avg:3.01 mse_y:3.92 mse_u:1.34 mse_v:1.03 psnr_avg:43.35 psnr_y:42.20 psnr_u:46.86 psnr_v:48.02 
n:36 mse_avg:3.00 mse_y:3.86 mse_u:1.44 mse_v:1.11 psnr_avg:43.36 psnr_y:42.26 psnr_u:46.55 psnr_v:47.68 
n:37 mse_avg:2.93 mse_y:3.80 mse_u:1.33 mse_v:1.02 psnr_avg:43.47 psnr_y:42.33 psnr_u:46.89 psnr_v:48.03 
n:38 mse_avg:2.82 mse_y:3.62 mse_u:1.38 mse_v:1.10 psnr_avg:43.62 psnr_y:42.55 psnr_u:46.72 psnr_v:47.73 
n:39 mse_avg:2.81 mse_y:3.63 mse_u:1.30 mse_v:1.04 psnr_avg:43.64 psnr_y:42.53 psnr_u:46.98 psnr_v:47.96 
n:40 mse_avg:2.74 mse_y:3.50 mse_u:1.35 mse_v:1.09 psnr_avg:43.75 psnr_y:42.68 psnr_u:46.81 psnr_v:47.75 
n:41 mse_avg:1.07 mse_y:1.26 mse_u:0.75 mse_v:0.63 psnr_avg:47.83 psnr_y:47.12 psnr_u:49.39 psnr_v:50.12 
n:42 mse_avg:2.10 mse_y:2.58 mse_u:1.30 mse_v:1.00 psnr_avg:44.90 psnr_y:44.01 psnr_u:47.01 psnr_v:48.14 
n:43 mse_avg:1.92 mse_y:2.39 mse_u:1.09 mse_v:0.84 psnr_avg:45.31 psnr_y:44.34 psnr_u:47.75 psnr_v:48.89 
n:44 mse_avg:2.16 mse_y:2.71 mse_u:1.19 mse_v:0.90 psnr_avg:44.79 psnr_y:43.80 psnr_u:47.37 psnr_v:48.57 
n:45 mse_avg:2.32 mse_y:2.97 mse_u:1.16 mse_v:0.90 psnr_avg:44.47 psnr_y:43.41 psnr_u:47.47 psnr_v:48.57 
n:46 mse_avg:2.57 mse_y:3.29 mse_u:1.25 mse_v:0.99 psnr_avg:44.04 psnr_y:42.96 psnr_u:47.16 psnr_v:48.16 
n:47 mse_avg:2.85 mse_y:3.71 mse_u:1.26 mse_v:0.99 psnr_avg:43.59 psnr_y:42.44 psnr_u:47.12 psnr_v:48.18 
n:48 mse_avg:3.09 mse_y:4.02 mse_u:1.34 mse_v:1.13 psnr_avg:43.23 psnr_y:42.09 psnr_u:46.86 psnr_v:47.59 
n:49 mse_avg:3.33 mse_y:4.39 mse_u:1.31 mse_v:1.10 psnr_avg:42.91 psnr_y:41.70 psnr_u:46.95 psnr_v:47.70 
n:50 mse_avg:3.55 mse_y:4.66 mse_u:1.47 mse_v:1.18 psnr_avg:42.63 psnr_y:41.44 psnr_u:46.47 psnr_v:47.40 
n:51 mse_avg:1.06 mse_y:1.26 mse_u:0.72 mse_v:0.63 psnr_avg:47.86 psnr_y:47.13 psnr_u:49.56 psnr_v:50.16 
n:52 mse_avg:2.67 mse_y:3.43 mse_u:1.30 mse_v:1.02 psnr_avg:43.86 psnr_y:42.78 psnr_u:46.98 psnr_v:48.04 
n:53 mse_avg:2.77 mse_y:3.61 mse_u:1.24 mse_v:0.95 psnr_avg:43.71 psnr_y:42.56 psnr_u:47.20 psnr_v:48.35 
n:54 mse_avg:3.24 mse_y:4.24 mse_u:1.43 mse_v:1.08 psnr_avg:43.02 psnr_y:41.86 psnr_u:46.59 psnr_v:47.81 
n:55 mse_avg:3.39 mse_y:4.48 mse_u:1.35 mse_v:1.05 psnr_avg:42.83 psnr_y:41.62 psnr_u:46.82 psnr_v:47.93 
n:56 mse_avg:3.56 mse_y:4.68 mse_u:1.50 mse_v:1.16 psnr_avg:42.61 psnr_y:41.43 psnr_u:46.37 psnr_v:47.50 
n:57 mse_avg:3.59 mse_y:4.75 mse_u:1.41 mse_v:1.14 psnr_avg:42.58 psnr_y:41.36 psnr_u:46.63 psnr_v:47.55 
n:58 mse_avg:3.64 mse_y:4.79 mse_u:1.50 mse_v:1.20 psnr_avg:42.52 psnr_y:41.33 psnr_u:46.38 psnr_v:47.33 
n:59 mse_avg:3.82 mse_y:5.07 mse_u:1.46 mse_v:1.18 psnr_avg:42.31 psnr_y:41.08 psnr_u:46.50 psnr_v:47.41 
n:60 mse_avg:3.93 mse_y:5.19 mse_u:1.53 mse_v:1.29 psnr_avg:42.19 psnr_y:40.98 psnr_u:46.29 psnr_v:47.03 
n:61 mse_avg:0.92 mse_y:1.09 mse_u:0.63 mse_v:0.53 psnr_avg:48.48 psnr_y:47.74 psnr_u:50.12 psnr_v:50.92 
n:62 mse_avg:2.52 mse_y:3.19 mse_u:1.34 mse_v:1.03 psnr_avg:44.11 psnr_y:43.09 psnr_u:46.87 psnr_v:47.99 
n:63 mse_avg:2.78 mse_y:3.62 mse_u:1.25 mse_v:0.97 psnr_avg:43.69 psnr_y:42.55 psnr_u:47.18 psnr_v:48.27 
n:64 mse_avg:3.33 mse_y:4.32 mse_u:1.50 mse_v:1.22 psnr_avg:42.90 psnr_y:41.77 psnr_u:46.38 psnr_v:47.27 
n:65 mse_avg:3.82 mse_y:5.06 mse_u:1.50 mse_v:1.19 psnr_avg:42.31 psnr_y:41.09 psnr_u:46.38 psnr_v:47.38 
n:66 mse_avg:4.07 mse_y:5.36 mse_u:1.67 mse_v:1.34 psnr_avg:42.03 psnr_y:40.84 psnr_u:45.90 psnr_v:46.87 
n:67 mse_avg:4.25 mse_y:5.66 mse_u:1.56 mse_v:1.32 psnr_avg:41.85 psnr_y:40.60 psnr_u:46.21 psnr_v:46.94 
n:68 mse_avg:4.47 mse_y:5.89 mse_u:1.74 mse_v:1.50 psnr_avg:41.63 psnr_y:40.43 psnr_u:45.73 psnr_v:46.37 
n:69 mse_avg:4.46 mse_y:5.95 mse_u:1.61 mse_v:1.36 psnr_avg:41.64 psnr_y:40.39 psnr_u:46.06 psnr_v:46.78 
n:70 mse_avg:4.44 mse_y:5.87 mse_u:1.70 mse_v:1.44 psnr_avg:41.66 psnr_y:40.44 psnr_u:45.84 psnr_v:46.56 
n:71 mse_avg:4.28 mse_y:5.69 mse_u:1.56 mse_v:1.37 psnr_avg:41.81 psnr_y:40.58 psnr_u:46.19 psnr_v:46.76 
n:72 mse_avg:4.32 mse_y:5.69 mse_u:1.71 mse_v:1.45 psnr_avg:41.78 psnr_y:40.58 psnr_u:45.81 psnr_v:46.50 
n:73 mse_avg:4.16 mse_y:5.49 mse_u:1.63 mse_v:1.38 psnr_avg:41.94 psnr_y:40.73 psnr_u:46.01 psnr_v:46.73 
n:74 mse_avg:4.15 mse_y:5.43 mse_u:1.72 mse_v:1.43 psnr_avg:41.95 psnr_y:40.78 psnr_u:45.78 psnr_v:46.58 
n:75 mse_avg:4.02 mse_y:5.29 mse_u:1.61 mse_v:1.38 psnr_avg:42.08 psnr_y:40.90 psnr_u:46.07 psnr_v:46.73 
n:76 mse_avg:1.36 mse_y:1.63 mse_u:0.88 mse_v:0.78 psnr_avg:46.79 psnr_y:46.01 psnr_u:48.69 psnr_v:49.24 
n:77 mse_avg:3.23 mse_y:4.26 mse_u:1.33 mse_v:0.99 psnr_avg:43.04 psnr_y:41.84 psnr_u:46.90 psnr_v:48.16 
n:78 mse_avg:3.45 mse_y:4.57 mse_u:1.32 mse_v:1.08 psnr_avg:42.75 psnr_y:41.53 psnr_u:46.92 psnr_v:47.80 
n:79 mse_avg:3.82 mse_y:5.10 mse_u:1.44 mse_v:1.09 psnr_avg:42.31 psnr_y:41.05 psnr_u:46.54 psnr_v:47.78 
n:80 mse_avg:4.03 mse_y:5.41 mse_u:1.36 mse_v:1.17 psnr_avg:42.08 psnr_y:40.80 psnr_u:46.79 psnr_v:47.43 
n:81 mse_avg:4.40 mse_y:5.93 mse_u:1.50 mse_v:1.18 psnr_avg:41.70 psnr_y:40.40 psnr_u:46.37 psnr_v:47.43 
n:82 mse_avg:4.58 mse_y:6.18 mse_u:1.46 mse_v:1.29 psnr_avg:41.53 psnr_y:40.22 psnr_u:46.47 psnr_v:47.03 
n:83 mse_avg:1.36 mse_y:1.63 mse_u:0.86 mse_v:0.75 psnr_avg:46.80 psnr_y:46.00 psnr_u:48.77 psnr_v:49.38 
n:84 mse_avg:2.88 mse_y:3.67 mse_u:1.43 mse_v:1.16 psnr_avg:43.54 psnr_y:42.48 psnr_u:46.58 psnr_v:47.49 
n:85 mse_avg:3.18 mse_y:4.16 mse_u:1.35 mse_v:1.09 psnr_avg:43.11 psnr_y:41.94 psnr_u:46.84 psnr_v:47.74 
n:86 mse_avg:3.46 mse_y:4.51 mse_u:1.48 mse_v:1.23 psnr_avg:42.74 psnr_y:41.59 psnr_u:46.43 psnr_v:47.24 
n:87 mse_avg:3.44 mse_y:4.51 mse_u:1.38 mse_v:1.17 psnr_avg:42.77 psnr_y:41.58 psnr_u:46.73 psnr_v:47.44 
n:88 mse_avg:3.49 mse_y:4.56 mse_u:1.46 mse_v:1.26 psnr_avg:42.70 psnr_y:41.54 psnr_u:46.50 psnr_v:47.13 
n:89 mse_avg:3.55 mse_y:4.66 mse_u:1.44 mse_v:1.20 psnr_avg:42.63 psnr_y:41.45 psnr_u:46.54 psnr_v:47.32 
n:90 mse_avg:3.63 mse_y:4.75 mse_u:1.49 mse_v:1.27 psnr_avg:42.53 psnr_y:41.36 psnr_u:46.39 psnr_v:47.10 
n:91 mse_avg:0.94 mse_y:1.11 mse_u:0.63 mse_v:0.55 psnr_avg:48.42 psnr_y:47.68 psnr_u:50.14 psnr_v:50.72 
n:92 mse_avg:2.49 mse_y:3.17 mse_u:1.30 mse_v:0.99 psnr_avg:44.16 psnr_y:43.12 psnr_u:47.01 psnr_v:48.18 
n:93 mse_avg:2.65 mse_y:3.45 mse_u:1.17 mse_v:0.90 psnr_avg:43.91 psnr_y:42.75 psnr_u:47.45 psnr_v:48.58 
n:94 mse_avg:3.01 mse_y:3.92 mse_u:1.35 mse_v:1.05 psnr_avg:43.34 psnr_y:42.20 psnr_u:46.84 psnr_v:47.90 
n:95 mse_avg:3.09 mse_y:4.07 mse_u:1.27 mse_v:1.00 psnr_avg:43.23 psnr_y:42.04 psnr_u:47.11 psnr_v:48.14 
n:96 mse_avg:3.39 mse_y:4.43 mse_u:1.42 mse_v:1.16 psnr_avg:42.83 psnr_y:41.66 psnr_u:46.59 psnr_v:47.50 
n:97 mse_avg:3.51 mse_y:4.63 mse_u:1.43 mse_v:1.10 psnr_avg:42.68 psnr_y:41.47 psnr_u:46.58 psnr_v:47.72 
n:98 mse_avg:3.62 mse_y:4.74 mse_u:1.53 mse_v:1.19 psnr_avg:42.55 psnr_y:41.37 psnr_u:46.29 psnr_v:47.36 
n:99 mse_avg:3.74 mse_y:4.96 mse_u:1.43 mse_v:1.17 psnr_avg:42.40 psnr_y:41.18 psnr_u:46.56 psnr_v:47.43 
n:100 mse_avg:3.87 mse_y:5.12 mse_u:1.54 mse_v:1.21 psnr_avg:42.25 psnr_y:41.04 psnr_u:46.27 psnr_v:47.31 
n:101 mse_avg:3.80 mse_y:5.04 mse_u:1.46 mse_v:1.17 psnr_avg:42.34 psnr_y:41.11 psnr_u:46.49 psnr_v:47.44 
n:102 mse_avg:3.87 mse_y:5.11 mse_u:1.52 mse_v:1.25 psnr_avg:42.26 psnr_y:41.05 psnr_u:46.31 psnr_v:47.17 
n:103 mse_avg:3.73 mse_y:4.92 mse_u:1.55 mse_v:1.17 psnr_avg:42.41 psnr_y:41.21 psnr_u:46.22 psnr_v:47.44 
n:104 mse_avg:3.78 mse_y:4.96 mse_u:1.59 mse_v:1.22 psnr_avg:42.36 psnr_y:41.18 psnr_u:46.11 psnr_v:47.28 
n:105 mse_avg:3.74 mse_y:4.94 mse_u:1.52 mse_v:1.16 psnr_avg:42.40 psnr_y:41.19 psnr_u:46.33 psnr_v:47.50 
n:106 mse_avg:1.40 mse_y:1.69 mse_u:0.88 mse_v:0.77 psnr_avg:46.67 psnr_y:45.86 psnr_u:48.66 psnr_v:49.28 
n:107 mse_avg:2.96 mse_y:3.83 mse_u:1.40 mse_v:1.04 psnr_avg:43.42 psnr_y:42.30 psnr_u:46.67 psnr_v:47.96 
n:108 mse_avg:3.05 mse_y:4.00 mse_u:1.27 mse_v:0.99 psnr_avg:43.29 psnr_y:42.11 psnr_u:47.08 psnr_v:48.15 
n:109 mse_avg:3.41 mse_y:4.48 mse_u:1.43 mse_v:1.10 psnr_avg:42.80 psnr_y:41.62 psnr_u:46.57 psnr_v:47.70 
n:110 mse_avg:3.56 mse_y:4.72 mse_u:1.40 mse_v:1.10 psnr_avg:42.61 psnr_y:41.39 psnr_u:46.66 psnr_v:47.73 
n:111 mse_avg:3.85 mse_y:5.10 mse_u:1.53 mse_v:1.18 psnr_avg:42.28 psnr_y:41.06 psnr_u:46.30 psnr_v:47.41 
n:112 mse_avg:3.93 mse_y:5.25 mse_u:1.43 mse_v:1.13 psnr_avg:42.19 psnr_y:40.93 psnr_u:46.58 psnr_v:47.59 
n:113 mse_avg:1.30 mse_y:1.55 mse_u:0.86 mse_v:0.73 psnr_avg:46.99 psnr_y:46.23 psnr_u:48.76 psnr_v:49.48 
n:114 mse_avg:2.62 mse_y:3.32 mse_u:1.42 mse_v:1.05 psnr_avg:43.94 psnr_y:42.92 psnr_u:46.60 psnr_v:47.94 
n:115 mse_avg:2.66 mse_y:3.43 mse_u:1.28 mse_v:0.95 psnr_avg:43.89 psnr_y:42.78 psnr_u:47.05 psnr_v:48.37 
n:116 mse_avg:2.95 mse_y:3.79 mse_u:1.45 mse_v:1.08 psnr_avg:43.43 psnr_y:42.34 psnr_u:46.51 psnr_v:47.81 
n:117 mse_avg:3.18 mse_y:4.15 mse_u:1.38 mse_v:1.07 psnr_avg:43.11 psnr_y:41.95 psnr_u:46.73 psnr_v:47.84 
n:118 mse_avg:3.46 mse_y:4.53 mse_u:1.52 mse_v:1.14 psnr_avg:42.74 psnr_y:41.57 psnr_u:46.32 psnr_v:47.56 
n:119 mse_avg:3.77 mse_y:5.02 mse_u:1.40 mse_v:1.11 psnr_avg:42.37 psnr_y:41.12 psnr_u:46.66 psnr_v:47.69 
n:120 mse_avg:3.95 mse_y:5.23 mse_u:1.53 mse_v:1.22 psnr_avg:42.17 psnr_y:40.94 psnr_u:46.28 psnr_v:47.28 
n:121 mse_avg:0.93 mse_y:1.10 mse_u:0.64 mse_v:0.56 psnr_avg:48.44 psnr_y:47.72 psnr_u:50.10 psnr_v:50.63 
n:122 mse_avg:2.35 mse_y:2.95 mse_u:1.27 mse_v:1.00 psnr_avg:44.43 psnr_y:43.43 psnr_u:47.11 psnr_v:48.13 
