n:1 mse_avg:1.62 mse_y:2.00 mse_u:0.92 mse_v:0.77 psnr_avg:46.05 psnr_y:45.12 psnr_u:48.49 psnr_v:49.26 
n:2 mse_avg:2.64 mse_y:3.25 mse_u:1.61 mse_v:1.23 psnr_avg:43.91 psnr_y:43.01 psnr_u:46.06 psnr_v:47.24 
n:3 mse_avg:2.81 mse_y:3.64 mse_u:1.33 mse_v:1.01 psnr_avg:43.64 psnr_y:42.52 psnr_u:46.89 psnr_v:48.08 
n:4 mse_avg:2.99 mse_y:3.80 mse_u:1.60 mse_v:1.15 psnr_avg:43.37 psnr_y:42.33 psnr_u:46.10 psnr_v:47.53 
n:5 mse_avg:2.59 mse_y:3.33 mse_u:1.24 mse_v:0.95 psnr_avg:44.00 psnr_y:42.91 psnr_u:47.20 psnr_v:48.34 
n:6 mse_avg:2.67 mse_y:3.33 mse_u:1.57 mse_v:1.17 psnr_avg:43.86 psnr_y:42.91 psnr_u:46.16 psnr_v:47.46 
n:7 mse_avg:2.59 mse_y:3.29 mse_u:1.37 mse_v:1.01 psnr_avg:44.00 psnr_y:42.96 psnr_u:46.75 psnr_v:48.09 
n:8 mse_avg:2.82 mse_y:3.55 mse_u:1.61 mse_v:1.09 psnr_avg:43.63 psnr_y:42.62 psnr_u:46.07 psnr_v:47.75 
n:9 mse_avg:2.59 mse_y:3.32 mse_u:1.27 mse_v:0.97 psnr_avg:44.00 psnr_y:42.91 psnr_u:47.08 psnr_v:48.27 
n:10 mse_avg:2.62 mse_y:3.26 mse_u:1.59 mse_v:1.10 psnr_avg:43.94 psnr_y:43.00 psnr_u:46.10 psnr_v:47.71 
n:11 mse_avg:2.59 mse_y:3.31 mse_u:1.32 mse_v:0.98 psnr_avg:44.00 psnr_y:42.93 psnr_u:46.94 psnr_v:48.22 
n:12 mse_avg:2.70 mse_y:3.37 mse_u:1.55 mse_v:1.15 psnr_avg:43.82 psnr_y:42.85 psnr_u:46.22 psnr_v:47.51 
n:13 mse_avg:2.42 mse_y:3.09 mse_u:1.23 mse_v:0.94 psnr_avg:44.30 psnr_y:43.24 psnr_u:47.25 psnr_v:48.40 
n:14 mse_avg:2.66 mse_y:3.33 mse_u:1.53 mse_v:1.14 psnr_avg:43.88 psnr_y:42.91 psnr_u:46.28 psnr_v:47.58 
