n:1 mse_avg:1.44 mse_y:1.64 mse_u:1.17 mse_v:0.90 psnr_avg:46.56 psnr_y:45.99 psnr_u:47.46 psnr_v:48.57 
n:2 mse_avg:2.64 mse_y:3.21 mse_u:1.73 mse_v:1.24 psnr_avg:43.92 psnr_y:43.06 psnr_u:45.74 psnr_v:47.20 
n:3 mse_avg:5.43 mse_y:6.69 mse_u:3.50 mse_v:2.32 psnr_avg:40.78 psnr_y:39.88 psnr_u:42.68 psnr_v:44.48 
n:4 mse_avg:4.90 mse_y:6.09 mse_u:3.05 mse_v:2.04 psnr_avg:41.23 psnr_y:40.29 psnr_u:43.29 psnr_v:45.04 
n:5 mse_avg:4.00 mse_y:4.94 mse_u:2.51 mse_v:1.74 psnr_avg:42.11 psnr_y:41.19 psnr_u:44.14 psnr_v:45.74 
n:6 mse_avg:4.36 mse_y:5.37 mse_u:2.78 mse_v:1.92 psnr_avg:41.74 psnr_y:40.83 psnr_u:43.70 psnr_v:45.30 
n:7 mse_avg:4.48 mse_y:5.52 mse_u:2.77 mse_v:2.01 psnr_avg:41.62 psnr_y:40.71 psnr_u:43.71 psnr_v:45.11 
n:8 mse_avg:4.53 mse_y:5.58 mse_u:2.83 mse_v:2.01 psnr_avg:41.57 psnr_y:40.66 psnr_u:43.61 psnr_v:45.10 
n:9 mse_avg:4.55 mse_y:5.65 mse_u:2.79 mse_v:1.96 psnr_avg:41.55 psnr_y:40.61 psnr_u:43.68 psnr_v:45.22 
n:10 mse_avg:3.67 mse_y:4.48 mse_u:2.44 mse_v:1.68 psnr_avg:42.48 psnr_y:41.62 psnr_u:44.25 psnr_v:45.87 
n:11 mse_avg:2.43 mse_y:2.88 mse_u:1.79 mse_v:1.30 psnr_avg:44.27 psnr_y:43.54 psnr_u:45.61 psnr_v:47.00 
n:12 mse_avg:3.79 mse_y:4.69 mse_u:2.34 mse_v:1.63 psnr_avg:42.35 psnr_y:41.42 psnr_u:44.45 psnr_v:46.01 
n:13 mse_avg:4.13 mse_y:5.13 mse_u:2.49 mse_v:1.79 psnr_avg:41.97 psnr_y:41.03 psnr_u:44.17 psnr_v:45.60 
n:14 mse_avg:4.32 mse_y:5.41 mse_u:2.46 mse_v:1.82 psnr_avg:41.78 psnr_y:40.80 psnr_u:44.22 psnr_v:45.54 
n:15 mse_avg:3.62 mse_y:4.42 mse_u:2.32 mse_v:1.72 psnr_avg:42.54 psnr_y:41.68 psnr_u:44.48 psnr_v:45.77 
n:16 mse_avg:4.36 mse_y:5.39 mse_u:2.65 mse_v:1.90 psnr_avg:41.74 psnr_y:40.81 psnr_u:43.90 psnr_v:45.33 
n:17 mse_avg:4.45 mse_y:5.54 mse_u:2.59 mse_v:1.95 psnr_avg:41.65 psnr_y:40.70 psnr_u:44.00 psnr_v:45.24 
n:18 mse_avg:4.54 mse_y:5.62 mse_u:2.65 mse_v:2.06 psnr_avg:41.56 psnr_y:40.63 psnr_u:43.90 psnr_v:44.99 
