n:1 mse_avg:5.64 mse_y:6.59 mse_u:4.20 mse_v:3.27 psnr_avg:40.62 psnr_y:39.94 psnr_u:41.90 psnr_v:42.99 
n:2 mse_avg:15.03 mse_y:19.53 mse_u:7.17 mse_v:4.92 psnr_avg:36.36 psnr_y:35.22 psnr_u:39.58 psnr_v:41.21 
n:3 mse_avg:14.87 mse_y:19.14 mse_u:7.74 mse_v:4.95 psnr_avg:36.41 psnr_y:35.31 psnr_u:39.25 psnr_v:41.19 
n:4 mse_avg:13.82 mse_y:17.53 mse_u:7.81 mse_v:4.98 psnr_avg:36.73 psnr_y:35.69 psnr_u:39.20 psnr_v:41.16 
n:5 mse_avg:13.46 mse_y:17.25 mse_u:7.05 mse_v:4.69 psnr_avg:36.84 psnr_y:35.76 psnr_u:39.65 psnr_v:41.42 
n:6 mse_avg:11.11 mse_y:14.00 mse_u:6.35 mse_v:4.34 psnr_avg:37.67 psnr_y:36.67 psnr_u:40.11 psnr_v:41.76 
n:7 mse_avg:12.76 mse_y:16.35 mse_u:6.70 mse_v:4.45 psnr_avg:37.07 psnr_y:36.00 psnr_u:39.87 psnr_v:41.65 
n:8 mse_avg:12.14 mse_y:15.61 mse_u:6.14 mse_v:4.26 psnr_avg:37.29 psnr_y:36.20 psnr_u:40.25 psnr_v:41.84 
n:9 mse_avg:11.51 mse_y:14.65 mse_u:6.13 mse_v:4.31 psnr_avg:37.52 psnr_y:36.47 psnr_u:40.26 psnr_v:41.79 
n:10 mse_avg:12.02 mse_y:15.33 mse_u:6.36 mse_v:4.46 psnr_avg:37.33 psnr_y:36.28 psnr_u:40.10 psnr_v:41.64 
n:11 mse_avg:8.29 mse_y:10.26 mse_u:5.00 mse_v:3.66 psnr_avg:38.95 psnr_y:38.02 psnr_u:41.14 psnr_v:42.49 
n:12 mse_avg:10.65 mse_y:13.72 mse_u:5.38 mse_v:3.63 psnr_avg:37.86 psnr_y:36.76 psnr_u:40.82 psnr_v:42.53 
n:13 mse_avg:9.69 mse_y:12.40 mse_u:5.14 mse_v:3.43 psnr_avg:38.27 psnr_y:37.20 psnr_u:41.02 psnr_v:42.78 
n:14 mse_avg:8.43 mse_y:10.58 mse_u:4.91 mse_v:3.36 psnr_avg:38.87 psnr_y:37.89 psnr_u:41.22 psnr_v:42.87 
n:15 mse_avg:7.86 mse_y:9.80 mse_u:4.70 mse_v:3.23 psnr_avg:39.18 psnr_y:38.22 psnr_u:41.41 psnr_v:43.04 
n:16 mse_avg:5.62 mse_y:6.72 mse_u:3.91 mse_v:2.93 psnr_avg:40.63 psnr_y:39.86 psnr_u:42.21 psnr_v:43.47 
n:17 mse_avg:6.39 mse_y:7.93 mse_u:3.80 mse_v:2.77 psnr_avg:40.08 psnr_y:39.14 psnr_u:42.33 psnr_v:43.71 
n:18 mse_avg:5.96 mse_y:7.34 mse_u:3.66 mse_v:2.72 psnr_avg:40.38 psnr_y:39.47 psnr_u:42.50 psnr_v:43.79 
n:19 mse_avg:5.67 mse_y:6.94 mse_u:3.59 mse_v:2.66 psnr_avg:40.60 psnr_y:39.72 psnr_u:42.58 psnr_v:43.88 
n:20 mse_avg:5.24 mse_y:6.41 mse_u:3.26 mse_v:2.52 psnr_avg:40.94 psnr_y:40.06 psnr_u:43.00 psnr_v:44.12 
n:21 mse_avg:4.01 mse_y:4.76 mse_u:2.83 mse_v:2.20 psnr_avg:42.10 psnr_y:41.35 psnr_u:43.61 psnr_v:44.71 
n:22 mse_avg:5.06 mse_y:6.22 mse_u:3.07 mse_v:2.40 psnr_avg:41.09 psnr_y:40.19 psnr_u:43.26 psnr_v:44.33 
n:23 mse_avg:5.16 mse_y:6.36 mse_u:3.07 mse_v:2.45 psnr_avg:41.01 psnr_y:40.10 psnr_u:43.26 psnr_v:44.24 
n:24 mse_avg:5.17 mse_y:6.40 mse_u:3.02 mse_v:2.43 psnr_avg:40.99 psnr_y:40.07 psnr_u:43.33 psnr_v:44.27 
n:25 mse_avg:4.97 mse_y:6.09 mse_u:3.11 mse_v:2.36 psnr_avg:41.16 psnr_y:40.28 psnr_u:43.20 psnr_v:44.39 
n:26 mse_avg:4.25 mse_y:5.10 mse_u:2.86 mse_v:2.27 psnr_avg:41.84 psnr_y:41.06 psnr_u:43.57 psnr_v:44.56 
n:27 mse_avg:4.50 mse_y:5.54 mse_u:2.76 mse_v:2.10 psnr_avg:41.60 psnr_y:40.70 psnr_u:43.73 psnr_v:44.91 
n:28 mse_avg:4.38 mse_y:5.32 mse_u:2.85 mse_v:2.13 psnr_avg:41.72 psnr_y:40.87 psnr_u:43.58 psnr_v:44.85 
n:29 mse_avg:4.23 mse_y:5.10 mse_u:2.84 mse_v:2.10 psnr_avg:41.87 psnr_y:41.05 psnr_u:43.60 psnr_v:44.90 
n:30 mse_avg:4.14 mse_y:4.98 mse_u:2.83 mse_v:2.14 psnr_avg:41.96 psnr_y:41.16 psnr_u:43.61 psnr_v:44.83 
n:31 mse_avg:3.45 mse_y:3.99 mse_u:2.70 mse_v:2.08 psnr_avg:42.75 psnr_y:42.13 psnr_u:43.81 psnr_v:44.95 
n:32 mse_avg:4.99 mse_y:6.14 mse_u:3.11 mse_v:2.24 psnr_avg:41.15 psnr_y:40.25 psnr_u:43.20 psnr_v:44.63 
n:33 mse_avg:4.73 mse_y:5.73 mse_u:3.19 mse_v:2.28 psnr_avg:41.38 psnr_y:40.55 psnr_u:43.09 psnr_v:44.56 
n:34 mse_avg:4.84 mse_y:5.90 mse_u:3.19 mse_v:2.26 psnr_avg:41.28 psnr_y:40.42 psnr_u:43.09 psnr_v:44.58 
n:35 mse_avg:4.96 mse_y:6.04 mse_u:3.29 mse_v:2.32 psnr_avg:41.17 psnr_y:40.32 psnr_u:42.96 psnr_v:44.48 
n:36 mse_avg:3.84 mse_y:4.53 mse_u:2.81 mse_v:2.12 psnr_avg:42.29 psnr_y:41.57 psnr_u:43.65 psnr_v:44.86 
n:37 mse_avg:4.39 mse_y:5.37 mse_u:2.84 mse_v:2.00 psnr_avg:41.71 psnr_y:40.83 psnr_u:43.60 psnr_v:45.11 
n:38 mse_avg:3.89 mse_y:4.69 mse_u:2.70 mse_v:1.90 psnr_avg:42.23 psnr_y:41.42 psnr_u:43.82 psnr_v:45.34 
n:39 mse_avg:3.79 mse_y:4.55 mse_u:2.69 mse_v:1.89 psnr_avg:42.34 psnr_y:41.56 psnr_u:43.84 psnr_v:45.37 
n:40 mse_avg:3.68 mse_y:4.40 mse_u:2.61 mse_v:1.86 psnr_avg:42.48 psnr_y:41.70 psnr_u:43.96 psnr_v:45.44 
n:41 mse_avg:2.62 mse_y:3.00 mse_u:2.09 mse_v:1.61 psnr_avg:43.95 psnr_y:43.36 psnr_u:44.92 psnr_v:46.07 
