n:1 mse_avg:1.48 mse_y:1.77 mse_u:1.10 mse_v:0.72 psnr_avg:46.42 psnr_y:45.66 psnr_u:47.70 psnr_v:49.54 
n:2 mse_avg:3.37 mse_y:4.47 mse_u:1.47 mse_v:0.89 psnr_avg:42.85 psnr_y:41.62 psnr_u:46.47 psnr_v:48.63 
n:3 mse_avg:7.55 mse_y:10.48 mse_u:1.98 mse_v:1.40 psnr_avg:39.35 psnr_y:37.93 psnr_u:45.16 psnr_v:46.66 
n:4 mse_avg:9.18 mse_y:12.71 mse_u:2.43 mse_v:1.79 psnr_avg:38.50 psnr_y:37.09 psnr_u:44.28 psnr_v:45.59 
n:5 mse_avg:8.91 mse_y:12.19 mse_u:2.75 mse_v:1.95 psnr_avg:38.63 psnr_y:37.27 psnr_u:43.74 psnr_v:45.24 
n:6 mse_avg:8.91 mse_y:12.11 mse_u:2.93 mse_v:2.12 psnr_avg:38.63 psnr_y:37.30 psnr_u:43.46 psnr_v:44.86 
n:7 mse_avg:9.23 mse_y:12.52 mse_u:3.07 mse_v:2.21 psnr_avg:38.48 psnr_y:37.15 psnr_u:43.25 psnr_v:44.69 
n:8 mse_avg:8.99 mse_y:12.14 mse_u:3.10 mse_v:2.33 psnr_avg:38.59 psnr_y:37.29 psnr_u:43.22 psnr_v:44.47 
n:9 mse_avg:9.09 mse_y:12.29 mse_u:3.06 mse_v:2.29 psnr_avg:38.55 psnr_y:37.23 psnr_u:43.28 psnr_v:44.53 
n:10 mse_avg:8.81 mse_y:11.89 mse_u:3.01 mse_v:2.30 psnr_avg:38.68 psnr_y:37.38 psnr_u:43.34 psnr_v:44.52 
n:11 mse_avg:3.63 mse_y:4.68 mse_u:1.86 mse_v:1.18 psnr_avg:42.53 psnr_y:41.43 psnr_u:45.43 psnr_v:47.42 
n:12 mse_avg:6.48 mse_y:8.85 mse_u:2.09 mse_v:1.39 psnr_avg:40.02 psnr_y:38.66 psnr_u:44.93 psnr_v:46.69 
n:13 mse_avg:6.96 mse_y:9.42 mse_u:2.46 mse_v:1.61 psnr_avg:39.71 psnr_y:38.39 psnr_u:44.21 psnr_v:46.05 
n:14 mse_avg:7.59 mse_y:10.23 mse_u:2.76 mse_v:1.83 psnr_avg:39.33 psnr_y:38.03 psnr_u:43.73 psnr_v:45.51 
n:15 mse_avg:8.63 mse_y:11.67 mse_u:3.07 mse_v:2.06 psnr_avg:38.77 psnr_y:37.46 psnr_u:43.26 psnr_v:44.99 
n:16 mse_avg:8.95 mse_y:12.09 mse_u:3.20 mse_v:2.15 psnr_avg:38.61 psnr_y:37.31 psnr_u:43.08 psnr_v:44.80 
