Time:1642776728	n=14	avg=1428.00	stddev=0.00	bps=1599360.00
Time:1642776729	n=15	avg=980.13	stddev=549.11	bps=1176160.00
Time:1642776729	n=3	avg=386.00	stddev=118.17	bps=92640.00
Time:1642776729	n=2	avg=611.50	stddev=13.50	bps=97840.00
Time:1642776729	n=3	avg=745.00	stddev=87.25	bps=178800.00
Time:1642776729	n=2	avg=729.00	stddev=275.00	bps=116640.00
Time:1642776729	n=3	avg=758.67	stddev=26.11	bps=182080.00
Time:1642776729	n=2	avg=709.00	stddev=2.00	bps=113440.00
Time:1642776729	n=3	avg=692.33	stddev=312.29	bps=166160.00
Time:1642776729	n=2	avg=821.00	stddev=39.00	bps=131360.00
Time:1642776729	n=4	avg=688.00	stddev=473.48	bps=220160.00
Time:1642776730	n=4	avg=1319.25	stddev=188.36	bps=422160.00
Time:1642776730	n=9	avg=986.22	stddev=521.82	bps=710080.00
Time:1642776730	n=4	avg=816.75	stddev=612.95	bps=261360.00
Time:1642776730	n=4	avg=1019.50	stddev=475.80	bps=326240.00
Time:1642776730	n=3	avg=1015.00	stddev=421.61	bps=243600.00
Time:1642776730	n=6	avg=800.33	stddev=629.34	bps=384160.00
Time:1642776730	n=4	avg=1369.75	stddev=59.86	bps=438320.00
Time:1642776730	n=5	avg=908.80	stddev=481.60	bps=363520.00
Time:1642776730	n=4	avg=809.25	stddev=620.87	bps=258960.00
Time:1642776730	n=3	avg=1066.67	stddev=371.92	bps=256000.00
Time:1642776731	n=6	avg=1161.33	stddev=448.10	bps=557440.00
Time:1642776731	n=5	avg=906.00	stddev=640.23	bps=362400.00
Time:1642776731	n=6	avg=1286.17	stddev=225.25	bps=617360.00
Time:1642776731	n=8	avg=982.38	stddev=498.50	bps=628720.00
Time:1642776731	n=4	avg=817.25	stddev=610.92	bps=261520.00
Time:1642776731	n=6	avg=817.00	stddev=616.86	bps=392160.00
Time:1642776731	n=4	avg=802.75	stddev=631.62	bps=256880.00
Time:1642776731	n=4	avg=810.75	stddev=617.29	bps=259440.00
Time:1642776731	n=5	avg=1009.00	stddev=462.55	bps=403600.00
Time:1642776731	n=6	avg=884.50	stddev=543.55	bps=424560.00
Time:1642776732	n=4	avg=806.75	stddev=621.42	bps=258160.00
Time:1642776732	n=5	avg=1173.00	stddev=275.71	bps=469200.00
Time:1642776732	n=2	avg=787.50	stddev=640.50	bps=126000.00
Time:1642776732	n=5	avg=1091.40	stddev=516.51	bps=436560.00
Time:1642776732	n=8	avg=1241.12	stddev=340.51	bps=794320.00
Time:1642776732	n=4	avg=896.75	stddev=535.18	bps=286960.00
Time:1642776732	n=5	avg=915.00	stddev=542.37	bps=366000.00
Time:1642776732	n=3	avg=1252.67	stddev=85.37	bps=300640.00
Time:1642776732	n=2	avg=1296.00	stddev=83.00	bps=207360.00
Time:1642776732	n=3	avg=984.00	stddev=615.23	bps=236160.00
Time:1642776733	n=4	avg=1222.00	stddev=229.23	bps=391040.00
Time:1642776733	n=1	avg=1356.00	stddev=0.00	bps=108480.00
Time:1642776733	n=7	avg=851.43	stddev=583.61	bps=476800.00
Time:1642776733	n=5	avg=1117.20	stddev=384.17	bps=446880.00
Time:1642776733	n=3	avg=1121.00	stddev=73.24	bps=269040.00
Time:1642776733	n=3	avg=1011.33	stddev=117.02	bps=242720.00
Time:1642776733	n=9	avg=1353.44	stddev=210.87	bps=974480.00
Time:1642776733	n=7	avg=1013.86	stddev=453.45	bps=567760.00
Time:1642776733	n=4	avg=919.00	stddev=509.75	bps=294080.00
Time:1642776733	n=4	avg=1064.75	stddev=424.45	bps=340720.00
Time:1642776734	n=6	avg=786.67	stddev=642.70	bps=377600.00
Time:1642776734	n=5	avg=889.40	stddev=638.33	bps=355760.00
Time:1642776734	n=3	avg=1184.33	stddev=299.81	bps=284240.00
Time:1642776734	n=4	avg=869.50	stddev=570.99	bps=278240.00
Time:1642776734	n=6	avg=906.67	stddev=522.84	bps=435200.00
Time:1642776734	n=5	avg=1208.40	stddev=262.64	bps=483360.00
Time:1642776734	n=2	avg=1220.00	stddev=3.00	bps=195200.00
Time:1642776734	n=2	avg=1219.00	stddev=23.00	bps=195040.00
Time:1642776734	n=6	avg=1226.00	stddev=422.43	bps=588480.00
Time:1642776734	n=6	avg=1130.33	stddev=411.64	bps=542560.00
Time:1642776735	n=6	avg=1015.33	stddev=442.49	bps=487360.00
Time:1642776735	n=5	avg=987.60	stddev=546.39	bps=395040.00
Time:1642776735	n=4	avg=780.00	stddev=451.65	bps=249600.00
Time:1642776735	n=3	avg=1118.67	stddev=94.71	bps=268480.00
Time:1642776735	n=2	avg=1373.50	stddev=46.50	bps=219760.00
Time:1642776735	n=5	avg=941.00	stddev=599.19	bps=376400.00
Time:1642776735	n=5	avg=874.20	stddev=485.97	bps=349680.00
Time:1642776735	n=5	avg=1170.00	stddev=330.28	bps=468000.00
Time:1642776735	n=5	avg=872.80	stddev=538.72	bps=349120.00
Time:1642776735	n=4	avg=843.75	stddev=585.26	bps=270000.00
Time:1642776736	n=5	avg=903.80	stddev=642.25	bps=361520.00
Time:1642776736	n=9	avg=1151.00	stddev=400.53	bps=828720.00
Time:1642776736	n=4	avg=906.00	stddev=522.40	bps=289920.00
Time:1642776736	n=4	avg=833.25	stddev=594.86	bps=266640.00
Time:1642776736	n=5	avg=892.00	stddev=644.32	bps=356800.00
Time:1642776736	n=6	avg=828.17	stddev=600.95	bps=397520.00
Time:1642776736	n=4	avg=948.50	stddev=479.62	bps=303520.00
Time:1642776736	n=5	avg=981.20	stddev=566.90	bps=392480.00
Time:1642776736	n=3	avg=977.67	stddev=612.98	bps=234640.00
Time:1642776736	n=4	avg=809.00	stddev=619.18	bps=258880.00
Time:1642776737	n=3	avg=1368.67	stddev=36.81	bps=328480.00
Time:1642776737	n=3	avg=1133.67	stddev=148.70	bps=272080.00
Time:1642776737	n=5	avg=1209.20	stddev=437.60	bps=483680.00
Time:1642776737	n=6	avg=989.67	stddev=463.67	bps=475040.00
Time:1642776737	n=6	avg=875.83	stddev=552.28	bps=420400.00
Time:1642776737	n=4	avg=914.75	stddev=520.87	bps=292720.00
Time:1642776737	n=6	avg=1014.33	stddev=421.62	bps=486880.00
Time:1642776737	n=5	avg=934.20	stddev=544.24	bps=373680.00
Time:1642776737	n=3	avg=988.33	stddev=464.39	bps=237200.00
Time:1642776737	n=5	avg=942.00	stddev=587.71	bps=376800.00
Time:1642776738	n=4	avg=1059.00	stddev=374.81	bps=338880.00
Time:1642776738	n=3	avg=1239.67	stddev=158.60	bps=297520.00
Time:1642776738	n=5	avg=897.00	stddev=634.92	bps=358800.00
Time:1642776738	n=4	avg=789.00	stddev=640.31	bps=252480.00
Time:1642776738	n=6	avg=1289.67	stddev=224.01	bps=619040.00
Time:1642776738	n=2	avg=1428.00	stddev=0.00	bps=228480.00
Time:1642776738	n=10	avg=1323.10	stddev=271.83	bps=1058480.00
Time:1642776738	n=13	avg=862.00	stddev=612.58	bps=896480.00
Time:1642776738	n=2	avg=1289.50	stddev=27.50	bps=206320.00
Time:1642776738	n=2	avg=1089.50	stddev=206.50	bps=174320.00
Time:1642776739	n=2	avg=1213.00	stddev=96.00	bps=194080.00
Time:1642776739	n=6	avg=1129.33	stddev=345.37	bps=542080.00
Time:1642776739	n=3	avg=921.67	stddev=175.75	bps=221200.00
Time:1642776739	n=5	avg=959.60	stddev=440.87	bps=383840.00
Time:1642776739	n=2	avg=1104.00	stddev=253.00	bps=176640.00
Time:1642776739	n=4	avg=1115.50	stddev=268.94	bps=356960.00
Time:1642776739	n=5	avg=1382.40	stddev=91.20	bps=552960.00
Time:1642776739	n=10	avg=1121.20	stddev=428.46	bps=896960.00
Time:1642776739	n=2	avg=1313.50	stddev=89.50	bps=210160.00
Time:1642776739	n=2	avg=720.00	stddev=44.00	bps=115200.00
Time:1642776740	n=5	avg=1025.20	stddev=457.99	bps=410080.00
Time:1642776740	n=5	avg=1026.40	stddev=503.88	bps=410560.00
Time:1642776740	n=7	avg=1086.00	stddev=461.94	bps=608160.00
Time:1642776740	n=3	avg=983.67	stddev=86.85	bps=236080.00
Time:1642776740	n=2	avg=1028.00	stddev=145.00	bps=164480.00
Time:1642776740	n=4	avg=879.50	stddev=453.57	bps=281440.00
Time:1642776740	n=4	avg=863.50	stddev=570.13	bps=276320.00
Time:1642776740	n=3	avg=1113.33	stddev=226.22	bps=267200.00
Time:1642776740	n=6	avg=1338.50	stddev=143.61	bps=642480.00
