Time:1642621599	n=17	avg=658.06	stddev=565.22	bps=894960.00
Time:1642621600	n=4	avg=1111.50	stddev=363.21	bps=355680.00
Time:1642621600	n=5	avg=951.80	stddev=583.23	bps=380720.00
Time:1642621600	n=3	avg=806.33	stddev=356.86	bps=193520.00
Time:1642621600	n=5	avg=1041.80	stddev=393.86	bps=416720.00
Time:1642621600	n=2	avg=373.50	stddev=120.50	bps=59760.00
Time:1642621600	n=5	avg=949.40	stddev=436.18	bps=379760.00
Time:1642621600	n=2	avg=334.00	stddev=41.00	bps=53440.00
Time:1642621600	n=10	avg=1094.10	stddev=511.59	bps=875280.00
Time:1642621600	n=2	avg=174.50	stddev=28.50	bps=27920.00
Time:1642621600	n=5	avg=1027.00	stddev=450.69	bps=410800.00
Time:1642621601	n=5	avg=1066.60	stddev=457.58	bps=426640.00
Time:1642621601	n=3	avg=593.67	stddev=152.48	bps=142480.00
Time:1642621601	n=5	avg=1001.00	stddev=529.54	bps=400400.00
Time:1642621601	n=3	avg=381.33	stddev=169.55	bps=91520.00
Time:1642621601	n=4	avg=1326.50	stddev=134.13	bps=424480.00
Time:1642621601	n=5	avg=982.40	stddev=547.15	bps=392960.00
Time:1642621601	n=3	avg=770.00	stddev=294.89	bps=184800.00
Time:1642621601	n=5	avg=1173.20	stddev=411.67	bps=469280.00
Time:1642621601	n=2	avg=465.00	stddev=14.00	bps=74400.00
Time:1642621601	n=12	avg=1228.42	stddev=364.71	bps=1179280.00
Time:1642621602	n=2	avg=488.00	stddev=119.00	bps=78080.00
Time:1642621602	n=4	avg=923.25	stddev=522.60	bps=295440.00
Time:1642621602	n=6	avg=1034.67	stddev=471.88	bps=496640.00
Time:1642621602	n=3	avg=565.33	stddev=104.06	bps=135680.00
Time:1642621602	n=5	avg=1347.80	stddev=113.05	bps=539120.00
Time:1642621602	n=4	avg=943.00	stddev=487.81	bps=301760.00
Time:1642621602	n=3	avg=828.00	stddev=242.67	bps=198720.00
Time:1642621602	n=4	avg=985.00	stddev=443.18	bps=315200.00
Time:1642621602	n=4	avg=1081.75	stddev=270.94	bps=346160.00
Time:1642621602	n=2	avg=707.00	stddev=108.00	bps=113120.00
Time:1642621603	n=7	avg=969.57	stddev=535.03	bps=542960.00
Time:1642621603	n=10	avg=1299.70	stddev=266.33	bps=1039760.00
Time:1642621603	n=4	avg=699.75	stddev=472.68	bps=223920.00
Time:1642621603	n=8	avg=1204.00	stddev=380.68	bps=770560.00
Time:1642621603	n=2	avg=986.50	stddev=232.50	bps=157840.00
Time:1642621603	n=6	avg=1069.67	stddev=399.90	bps=513440.00
Time:1642621603	n=4	avg=1015.25	stddev=481.44	bps=324880.00
Time:1642621603	n=3	avg=307.67	stddev=186.21	bps=73840.00
Time:1642621603	n=4	avg=928.50	stddev=501.30	bps=297120.00
Time:1642621603	n=3	avg=608.33	stddev=580.00	bps=146000.00
Time:1642621604	n=3	avg=709.67	stddev=474.64	bps=170320.00
Time:1642621604	n=4	avg=809.00	stddev=532.06	bps=258880.00
Time:1642621604	n=2	avg=258.00	stddev=10.00	bps=41280.00
Time:1642621604	n=9	avg=1292.11	stddev=384.35	bps=930320.00
Time:1642621604	n=4	avg=780.25	stddev=451.22	bps=249680.00
Time:1642621604	n=7	avg=858.43	stddev=529.56	bps=480720.00
Time:1642621604	n=2	avg=356.50	stddev=27.50	bps=57040.00
Time:1642621604	n=4	avg=1296.25	stddev=228.20	bps=414800.00
Time:1642621604	n=8	avg=1063.62	stddev=471.93	bps=680720.00
Time:1642621604	n=3	avg=701.67	stddev=515.38	bps=168400.00
Time:1642621605	n=5	avg=962.60	stddev=468.53	bps=385040.00
Time:1642621605	n=4	avg=973.25	stddev=454.81	bps=311440.00
Time:1642621605	n=5	avg=976.40	stddev=378.86	bps=390560.00
Time:1642621605	n=4	avg=1139.75	stddev=295.27	bps=364720.00
Time:1642621605	n=4	avg=855.50	stddev=342.99	bps=273760.00
Time:1642621605	n=9	avg=1343.22	stddev=187.84	bps=967120.00
Time:1642621605	n=3	avg=687.00	stddev=106.07	bps=164880.00
Time:1642621605	n=7	avg=1130.71	stddev=492.42	bps=633200.00
Time:1642621605	n=3	avg=1185.33	stddev=200.73	bps=284480.00
