Time:1642694611	n=19	avg=1192.84	stddev=485.47	bps=1813120.00
Time:1642694612	n=2	avg=122.50	stddev=2.50	bps=19600.00
Time:1642694612	n=3	avg=164.33	stddev=31.46	bps=39440.00
Time:1642694612	n=2	avg=321.00	stddev=47.00	bps=51360.00
Time:1642694612	n=4	avg=708.00	stddev=444.16	bps=226560.00
Time:1642694612	n=2	avg=837.00	stddev=186.00	bps=133920.00
Time:1642694612	n=6	avg=951.67	stddev=622.10	bps=456800.00
Time:1642694612	n=3	avg=1257.00	stddev=126.26	bps=301680.00
Time:1642694612	n=5	avg=1077.60	stddev=392.24	bps=431040.00
Time:1642694612	n=3	avg=900.67	stddev=486.13	bps=216160.00
Time:1642694612	n=6	avg=1198.83	stddev=311.98	bps=575440.00
Time:1642694613	n=5	avg=1071.00	stddev=503.41	bps=428400.00
Time:1642694613	n=5	avg=1296.00	stddev=213.12	bps=518400.00
Time:1642694613	n=3	avg=906.00	stddev=606.88	bps=217440.00
Time:1642694613	n=4	avg=829.50	stddev=572.85	bps=265440.00
Time:1642694613	n=5	avg=1131.20	stddev=416.97	bps=452480.00
Time:1642694613	n=2	avg=1167.00	stddev=261.00	bps=186720.00
Time:1642694613	n=7	avg=1081.29	stddev=427.70	bps=605520.00
Time:1642694613	n=5	avg=843.00	stddev=536.51	bps=337200.00
Time:1642694613	n=4	avg=952.75	stddev=522.63	bps=304880.00
Time:1642694613	n=6	avg=948.17	stddev=526.44	bps=455120.00
Time:1642694614	n=4	avg=795.00	stddev=633.66	bps=254400.00
Time:1642694614	n=6	avg=873.17	stddev=594.67	bps=419120.00
Time:1642694614	n=6	avg=1151.50	stddev=392.25	bps=552720.00
Time:1642694614	n=7	avg=1108.14	stddev=497.93	bps=620560.00
Time:1642694614	n=4	avg=847.25	stddev=581.01	bps=271120.00
Time:1642694614	n=7	avg=1089.43	stddev=424.32	bps=610080.00
Time:1642694614	n=2	avg=1380.00	stddev=41.00	bps=220800.00
Time:1642694614	n=6	avg=820.33	stddev=608.46	bps=393760.00
Time:1642694614	n=3	avg=1374.33	stddev=39.75	bps=329840.00
Time:1642694614	n=6	avg=835.83	stddev=592.17	bps=401200.00
Time:1642694615	n=4	avg=986.00	stddev=490.27	bps=315520.00
Time:1642694615	n=6	avg=1042.17	stddev=457.85	bps=500240.00
Time:1642694615	n=2	avg=1296.50	stddev=74.50	bps=207440.00
Time:1642694615	n=4	avg=1131.75	stddev=378.57	bps=362160.00
Time:1642694615	n=7	avg=1049.14	stddev=599.12	bps=587520.00
Time:1642694615	n=5	avg=1265.60	stddev=201.10	bps=506240.00
Time:1642694615	n=4	avg=801.00	stddev=629.68	bps=256320.00
Time:1642694615	n=6	avg=1018.00	stddev=468.32	bps=488640.00
Time:1642694615	n=2	avg=1348.00	stddev=13.00	bps=215680.00
Time:1642694615	n=4	avg=1074.00	stddev=581.58	bps=343680.00
Time:1642694616	n=4	avg=1045.50	stddev=508.11	bps=334560.00
Time:1642694616	n=4	avg=1005.75	stddev=501.44	bps=321840.00
Time:1642694616	n=3	avg=1111.67	stddev=343.02	bps=266800.00
Time:1642694616	n=4	avg=1328.75	stddev=150.77	bps=425200.00
Time:1642694616	n=2	avg=1408.50	stddev=8.50	bps=225360.00
Time:1642694616	n=5	avg=985.40	stddev=517.02	bps=394160.00
Time:1642694616	n=7	avg=1124.43	stddev=494.38	bps=629680.00
Time:1642694616	n=6	avg=1049.50	stddev=535.79	bps=503760.00
Time:1642694616	n=3	avg=920.67	stddev=621.78	bps=220960.00
Time:1642694616	n=7	avg=1044.86	stddev=501.99	bps=585120.00
Time:1642694617	n=2	avg=1319.00	stddev=68.00	bps=211040.00
Time:1642694617	n=4	avg=1035.25	stddev=345.84	bps=331280.00
Time:1642694617	n=4	avg=1072.50	stddev=472.89	bps=343200.00
Time:1642694617	n=3	avg=1041.67	stddev=328.49	bps=250000.00
Time:1642694617	n=4	avg=936.25	stddev=552.28	bps=299600.00
Time:1642694617	n=4	avg=1052.25	stddev=237.36	bps=336720.00
Time:1642694617	n=4	avg=906.50	stddev=521.64	bps=290080.00
Time:1642694617	n=6	avg=990.67	stddev=466.51	bps=475520.00
Time:1642694617	n=7	avg=1164.29	stddev=451.50	bps=652000.00
Time:1642694617	n=6	avg=956.33	stddev=505.33	bps=459040.00
Time:1642694618	n=3	avg=1032.67	stddev=559.09	bps=247840.00
Time:1642694618	n=8	avg=942.12	stddev=537.58	bps=602960.00
Time:1642694618	n=2	avg=904.50	stddev=79.50	bps=144720.00
