Time:1642625736	n=17	avg=774.24	stddev=599.25	bps=1052960.00
Time:1642625737	n=6	avg=234.67	stddev=196.33	bps=112640.00
Time:1642625737	n=4	avg=244.75	stddev=207.51	bps=78320.00
Time:1642625737	n=6	avg=385.83	stddev=353.25	bps=185200.00
Time:1642625737	n=4	avg=588.75	stddev=546.78	bps=188400.00
Time:1642625737	n=5	avg=536.20	stddev=612.13	bps=214480.00
Time:1642625737	n=8	avg=691.38	stddev=595.80	bps=442480.00
Time:1642625737	n=5	avg=610.20	stddev=655.40	bps=244080.00
Time:1642625737	n=9	avg=536.33	stddev=631.87	bps=386160.00
Time:1642625737	n=9	avg=628.11	stddev=593.48	bps=452240.00
Time:1642625737	n=6	avg=761.00	stddev=567.03	bps=365280.00
Time:1642625738	n=19	avg=979.79	stddev=592.65	bps=1489280.00
Time:1642625738	n=4	avg=684.00	stddev=642.48	bps=218880.00
Time:1642625738	n=6	avg=513.50	stddev=477.15	bps=246480.00
Time:1642625738	n=4	avg=353.75	stddev=312.31	bps=113200.00
Time:1642625738	n=6	avg=546.67	stddev=533.37	bps=262400.00
Time:1642625738	n=4	avg=629.75	stddev=592.47	bps=201520.00
Time:1642625738	n=6	avg=660.50	stddev=619.11	bps=317040.00
Time:1642625738	n=4	avg=704.25	stddev=662.28	bps=225360.00
Time:1642625738	n=9	avg=520.22	stddev=642.51	bps=374560.00
Time:1642625738	n=4	avg=695.75	stddev=653.75	bps=222640.00
Time:1642625739	n=6	avg=513.83	stddev=639.64	bps=246640.00
Time:1642625739	n=7	avg=636.14	stddev=627.14	bps=356240.00
Time:1642625739	n=19	avg=890.47	stddev=641.64	bps=1353520.00
Time:1642625739	n=6	avg=626.00	stddev=590.88	bps=300480.00
Time:1642625739	n=9	avg=621.11	stddev=592.08	bps=447200.00
Time:1642625739	n=6	avg=548.83	stddev=624.44	bps=263440.00
Time:1642625739	n=8	avg=599.75	stddev=631.91	bps=383840.00
Time:1642625739	n=4	avg=652.25	stddev=613.17	bps=208720.00
Time:1642625739	n=7	avg=451.71	stddev=618.11	bps=252960.00
Time:1642625739	n=8	avg=633.50	stddev=620.05	bps=405440.00
Time:1642625740	n=9	avg=539.89	stddev=630.25	bps=388720.00
Time:1642625740	n=6	avg=516.67	stddev=644.63	bps=248000.00
Time:1642625740	n=7	avg=612.14	stddev=635.39	bps=342800.00
Time:1642625740	n=6	avg=559.17	stddev=619.68	bps=268400.00
Time:1642625740	n=18	avg=902.28	stddev=636.16	bps=1299280.00
Time:1642625740	n=4	avg=626.25	stddev=584.60	bps=200400.00
Time:1642625740	n=5	avg=568.00	stddev=645.05	bps=227200.00
Time:1642625740	n=5	avg=756.00	stddev=586.01	bps=302400.00
Time:1642625740	n=6	avg=661.83	stddev=619.90	bps=317680.00
Time:1642625740	n=4	avg=675.50	stddev=633.51	bps=216160.00
Time:1642625741	n=8	avg=575.50	stddev=659.25	bps=368320.00
Time:1642625741	n=4	avg=626.50	stddev=588.11	bps=200480.00
Time:1642625741	n=8	avg=543.62	stddev=626.49	bps=347920.00
Time:1642625741	n=5	avg=617.80	stddev=632.36	bps=247120.00
Time:1642625741	n=9	avg=572.22	stddev=614.45	bps=412000.00
Time:1642625741	n=6	avg=554.17	stddev=621.16	bps=266000.00
Time:1642625741	n=18	avg=892.00	stddev=646.48	bps=1284480.00
Time:1642625741	n=6	avg=538.17	stddev=631.91	bps=258320.00
Time:1642625741	n=6	avg=620.83	stddev=585.32	bps=298000.00
Time:1642625741	n=5	avg=595.60	stddev=623.22	bps=238240.00
Time:1642625742	n=6	avg=702.00	stddev=660.70	bps=336960.00
Time:1642625742	n=4	avg=667.25	stddev=625.31	bps=213520.00
Time:1642625742	n=6	avg=643.83	stddev=602.93	bps=309040.00
