Time:1642781446	n=12	avg=1420.67	stddev=2.21	bps=1363840.00
Time:1642781447	n=11	avg=930.00	stddev=446.74	bps=818400.00
Time:1642781447	n=4	avg=902.00	stddev=534.47	bps=288640.00
Time:1642781447	n=5	avg=970.00	stddev=493.23	bps=388000.00
Time:1642781447	n=4	avg=819.50	stddev=381.37	bps=262240.00
Time:1642781447	n=2	avg=1017.00	stddev=24.00	bps=162720.00
Time:1642781447	n=5	avg=1051.20	stddev=462.89	bps=420480.00
Time:1642781447	n=4	avg=920.50	stddev=370.59	bps=294560.00
Time:1642781447	n=4	avg=800.25	stddev=404.38	bps=256080.00
Time:1642781447	n=2	avg=1170.00	stddev=75.00	bps=187200.00
Time:1642781447	n=3	avg=933.67	stddev=456.97	bps=224080.00
Time:1642781448	n=9	avg=1420.89	stddev=2.51	bps=1023040.00
Time:1642781448	n=10	avg=963.90	stddev=428.36	bps=771120.00
Time:1642781448	n=2	avg=1036.00	stddev=58.00	bps=165760.00
Time:1642781448	n=7	avg=1159.00	stddev=443.87	bps=649040.00
Time:1642781448	n=4	avg=1087.75	stddev=216.65	bps=348080.00
Time:1642781448	n=4	avg=777.25	stddev=459.25	bps=248720.00
Time:1642781448	n=2	avg=1041.00	stddev=114.00	bps=166560.00
Time:1642781448	n=3	avg=786.33	stddev=489.66	bps=188720.00
Time:1642781448	n=8	avg=1108.00	stddev=462.14	bps=709120.00
Time:1642781448	n=4	avg=768.75	stddev=473.30	bps=246000.00
Time:1642781449	n=2	avg=1070.50	stddev=27.50	bps=171280.00
Time:1642781449	n=3	avg=847.67	stddev=502.17	bps=203440.00
Time:1642781449	n=16	avg=1420.50	stddev=1.94	bps=1818240.00
Time:1642781449	n=7	avg=917.29	stddev=401.63	bps=513680.00
Time:1642781449	n=2	avg=1191.00	stddev=35.00	bps=190560.00
Time:1642781449	n=4	avg=1041.75	stddev=408.48	bps=333360.00
Time:1642781449	n=2	avg=1277.50	stddev=41.50	bps=204400.00
Time:1642781449	n=5	avg=1128.00	stddev=396.11	bps=451200.00
Time:1642781449	n=4	avg=985.00	stddev=390.10	bps=315200.00
Time:1642781449	n=3	avg=857.00	stddev=407.07	bps=205680.00
Time:1642781450	n=6	avg=1154.17	stddev=431.63	bps=554000.00
Time:1642781450	n=5	avg=925.80	stddev=473.58	bps=370320.00
Time:1642781450	n=4	avg=753.75	stddev=674.35	bps=241200.00
Time:1642781450	n=3	avg=930.00	stddev=352.41	bps=223200.00
Time:1642781450	n=11	avg=1420.73	stddev=2.30	bps=1250240.00
Time:1642781450	n=7	avg=953.29	stddev=348.26	bps=533840.00
Time:1642781450	n=2	avg=1211.50	stddev=58.50	bps=193840.00
Time:1642781450	n=4	avg=864.00	stddev=361.10	bps=276480.00
Time:1642781450	n=2	avg=1094.00	stddev=4.00	bps=175040.00
Time:1642781450	n=4	avg=1125.25	stddev=440.49	bps=360080.00
Time:1642781451	n=10	avg=1188.50	stddev=382.77	bps=950800.00
Time:1642781451	n=4	avg=682.25	stddev=485.27	bps=218320.00
Time:1642781451	n=6	avg=1182.33	stddev=352.67	bps=567520.00
Time:1642781451	n=3	avg=851.00	stddev=556.13	bps=204240.00
Time:1642781451	n=2	avg=938.50	stddev=38.50	bps=150160.00
Time:1642781451	n=3	avg=594.67	stddev=589.27	bps=142720.00
Time:1642781451	n=13	avg=1420.62	stddev=2.13	bps=1477440.00
Time:1642781451	n=11	avg=947.73	stddev=530.69	bps=834000.00
Time:1642781451	n=2	avg=1402.00	stddev=8.00	bps=224320.00
Time:1642781451	n=4	avg=1068.50	stddev=398.16	bps=341920.00
Time:1642781452	n=2	avg=1238.50	stddev=85.50	bps=198160.00
Time:1642781452	n=5	avg=944.00	stddev=593.95	bps=377600.00
Time:1642781452	n=5	avg=1150.00	stddev=238.06	bps=460000.00
Time:1642781452	n=4	avg=908.75	stddev=387.80	bps=290800.00
Time:1642781452	n=4	avg=1237.25	stddev=209.79	bps=395920.00
Time:1642781452	n=4	avg=1074.25	stddev=367.64	bps=343760.00
Time:1642781452	n=3	avg=958.33	stddev=612.63	bps=230000.00
Time:1642781452	n=3	avg=1033.67	stddev=421.11	bps=248080.00
Time:1642781452	n=11	avg=1420.73	stddev=2.30	bps=1250240.00
Time:1642781452	n=8	avg=899.62	stddev=404.12	bps=575760.00
Time:1642781453	n=2	avg=1144.00	stddev=126.00	bps=183040.00
Time:1642781453	n=4	avg=961.00	stddev=411.02	bps=307520.00
Time:1642781453	n=2	avg=1037.50	stddev=36.50	bps=166000.00
Time:1642781453	n=5	avg=1098.20	stddev=446.40	bps=439280.00
Time:1642781453	n=3	avg=1428.00	stddev=0.00	bps=342720.00
Time:1642781453	n=8	avg=881.12	stddev=392.95	bps=563920.00
Time:1642781453	n=7	avg=1157.57	stddev=456.57	bps=648240.00
Time:1642781453	n=3	avg=830.33	stddev=492.23	bps=199280.00
Time:1642781453	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1642781453	n=3	avg=864.00	stddev=409.62	bps=207360.00
Time:1642781454	n=6	avg=1421.33	stddev=2.98	bps=682240.00
Time:1642781454	n=18	avg=1222.06	stddev=341.07	bps=1759760.00
Time:1642781454	n=2	avg=1041.00	stddev=100.00	bps=166560.00
Time:1642781454	n=4	avg=711.75	stddev=446.54	bps=227760.00
Time:1642781454	n=2	avg=996.50	stddev=54.50	bps=159440.00
Time:1642781454	n=4	avg=977.75	stddev=465.93	bps=312880.00
Time:1642781454	n=8	avg=1156.75	stddev=373.77	bps=740320.00
Time:1642781454	n=4	avg=546.25	stddev=538.95	bps=174800.00
Time:1642781454	n=7	avg=1170.71	stddev=424.74	bps=655600.00
Time:1642781454	n=3	avg=820.33	stddev=509.58	bps=196880.00
Time:1642781455	n=2	avg=982.00	stddev=6.00	bps=157120.00
Time:1642781455	n=3	avg=711.00	stddev=520.92	bps=170640.00
Time:1642781455	n=7	avg=1421.14	stddev=2.80	bps=795840.00
Time:1642781455	n=17	avg=1262.18	stddev=284.60	bps=1716560.00
Time:1642781455	n=2	avg=1336.00	stddev=13.00	bps=213760.00
Time:1642781455	n=4	avg=980.50	stddev=369.08	bps=313760.00
Time:1642781455	n=2	avg=1223.50	stddev=23.50	bps=195760.00
Time:1642781455	n=3	avg=1011.67	stddev=435.77	bps=242800.00
Time:1642781455	n=6	avg=1195.50	stddev=274.74	bps=573840.00
Time:1642781455	n=4	avg=888.50	stddev=388.34	bps=284320.00
Time:1642781456	n=4	avg=1340.00	stddev=108.60	bps=428800.00
Time:1642781456	n=4	avg=1081.00	stddev=316.55	bps=345920.00
Time:1642781456	n=3	avg=943.67	stddev=637.47	bps=226480.00
Time:1642781456	n=3	avg=1097.33	stddev=454.96	bps=263360.00
Time:1642781456	n=13	avg=1374.85	stddev=158.74	bps=1429840.00
Time:1642781456	n=6	avg=978.83	stddev=371.97	bps=469840.00
Time:1642781456	n=2	avg=1157.50	stddev=56.50	bps=185200.00
Time:1642781456	n=4	avg=916.50	stddev=395.26	bps=293280.00
Time:1642781456	n=2	avg=1130.50	stddev=0.50	bps=180880.00
