Time:1642781281	n=16	avg=682.00	stddev=612.83	bps=872960.00
Time:1642781282	n=3	avg=105.33	stddev=13.10	bps=25280.00
Time:1642781282	n=4	avg=930.00	stddev=502.80	bps=297600.00
Time:1642781282	n=3	avg=112.33	stddev=32.62	bps=26960.00
Time:1642781282	n=4	avg=1187.25	stddev=414.69	bps=379920.00
Time:1642781282	n=3	avg=191.67	stddev=84.56	bps=46000.00
Time:1642781282	n=3	avg=1058.00	stddev=383.25	bps=253920.00
Time:1642781282	n=3	avg=216.67	stddev=88.87	bps=52000.00
Time:1642781282	n=9	avg=1319.78	stddev=230.56	bps=950240.00
Time:1642781282	n=3	avg=263.67	stddev=132.11	bps=63280.00
Time:1642781282	n=3	avg=988.33	stddev=357.23	bps=237200.00
Time:1642781283	n=3	avg=216.33	stddev=95.00	bps=51920.00
Time:1642781283	n=5	avg=1264.80	stddev=311.62	bps=505920.00
Time:1642781283	n=1	avg=322.00	stddev=0.00	bps=25760.00
Time:1642781283	n=4	avg=1160.75	stddev=308.34	bps=371440.00
Time:1642781283	n=3	avg=323.33	stddev=169.42	bps=77600.00
Time:1642781283	n=3	avg=1199.00	stddev=312.61	bps=287760.00
Time:1642781283	n=3	avg=296.67	stddev=149.97	bps=71200.00
Time:1642781283	n=3	avg=1120.00	stddev=293.52	bps=268800.00
Time:1642781283	n=3	avg=333.67	stddev=162.18	bps=80080.00
Time:1642781283	n=11	avg=1428.00	stddev=0.00	bps=1256640.00
Time:1642781284	n=5	avg=594.60	stddev=308.24	bps=237840.00
Time:1642781284	n=4	avg=1042.00	stddev=500.70	bps=333440.00
Time:1642781284	n=5	avg=1052.80	stddev=396.73	bps=421120.00
Time:1642781284	n=2	avg=640.50	stddev=22.50	bps=102480.00
Time:1642781284	n=6	avg=1037.67	stddev=489.59	bps=498080.00
Time:1642781284	n=2	avg=573.00	stddev=16.00	bps=91680.00
Time:1642781284	n=5	avg=1015.80	stddev=538.76	bps=406320.00
Time:1642781284	n=5	avg=875.20	stddev=480.19	bps=350080.00
Time:1642781284	n=1	avg=94.00	stddev=0.00	bps=7520.00
Time:1642781284	n=7	avg=939.14	stddev=508.06	bps=525920.00
Time:1642781285	n=5	avg=1045.00	stddev=479.05	bps=418000.00
Time:1642781285	n=4	avg=1203.00	stddev=389.71	bps=384960.00
Time:1642781285	n=7	avg=1428.00	stddev=0.00	bps=799680.00
Time:1642781285	n=13	avg=1032.69	stddev=505.62	bps=1074000.00
Time:1642781285	n=3	avg=729.00	stddev=544.75	bps=174960.00
Time:1642781285	n=5	avg=983.00	stddev=468.58	bps=393200.00
Time:1642781285	n=5	avg=1018.20	stddev=530.06	bps=407280.00
Time:1642781285	n=3	avg=1170.00	stddev=364.87	bps=280800.00
Time:1642781285	n=5	avg=668.00	stddev=526.09	bps=267200.00
Time:1642781285	n=5	avg=1096.60	stddev=527.81	bps=438640.00
Time:1642781286	n=3	avg=540.67	stddev=309.00	bps=129760.00
Time:1642781286	n=3	avg=1233.00	stddev=160.46	bps=295920.00
Time:1642781286	n=3	avg=518.00	stddev=306.68	bps=124320.00
Time:1642781286	n=10	avg=1428.00	stddev=0.00	bps=1142400.00
Time:1642781286	n=8	avg=884.88	stddev=480.98	bps=566320.00
Time:1642781286	n=4	avg=990.50	stddev=474.83	bps=316960.00
Time:1642781286	n=3	avg=387.00	stddev=213.17	bps=92880.00
Time:1642781286	n=4	avg=1317.25	stddev=171.67	bps=421520.00
Time:1642781286	n=3	avg=465.00	stddev=250.75	bps=111600.00
Time:1642781286	n=5	avg=1181.00	stddev=371.33	bps=472400.00
Time:1642781287	n=3	avg=503.33	stddev=288.49	bps=120800.00
Time:1642781287	n=4	avg=1280.75	stddev=195.33	bps=409840.00
Time:1642781287	n=3	avg=447.67	stddev=249.99	bps=107440.00
Time:1642781287	n=4	avg=1022.50	stddev=455.04	bps=327200.00
Time:1642781287	n=3	avg=456.67	stddev=263.03	bps=109600.00
Time:1642781287	n=11	avg=1428.00	stddev=0.00	bps=1256640.00
Time:1642781287	n=7	avg=908.00	stddev=437.43	bps=508480.00
Time:1642781287	n=4	avg=1151.00	stddev=304.25	bps=368320.00
Time:1642781287	n=3	avg=286.00	stddev=143.07	bps=68640.00
