top - 15:20:23 up  1:13,  1 user,  load average: 0,27, 0,32, 0,33
Tasks: 328 total,   1 running, 327 sleeping,   0 stopped,   0 zombie
%Cpu(s): 11,9 us,  2,2 sy,  0,0 ni, 85,9 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :   7856,4 total,   3297,9 free,   1767,0 used,   2791,5 buff/cache
MiB Swap:   1335,2 total,   1335,2 free,      0,0 used.   5488,9 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  25088 root      20   0  431076  50464  11872 S  93,8   0,6   0:00.15 gst-lau+
   3327 christi+  20   0 4609188 238120  83360 S   6,2   3,0   2:04.16 gnome-s+
   3869 root      20   0   18496   2892   1952 S   6,2   0,0   0:07.29 mount.n+
   3926 christi+  20   0  840048  68508  45904 S   6,2   0,9   1:10.85 gnome-t+
  25087 root      20   0   20620   4148   3508 R   6,2   0,1   0:00.01 top
      1 root      20   0  168648  12652   8508 S   0,0   0,2   0:02.30 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kthreadd
      3 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_par+
      6 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
      9 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 mm_perc+
     10 root      20   0       0      0      0 S   0,0   0,0   0:00.00 rcu_tas+
     11 root      20   0       0      0      0 S   0,0   0,0   0:00.00 rcu_tas+
     12 root      20   0       0      0      0 S   0,0   0,0   0:00.37 ksoftir+
     13 root      20   0       0      0      0 I   0,0   0,0   0:05.89 rcu_sch+
     14 root      rt   0       0      0      0 S   0,0   0,0   0:00.02 migrati+
     15 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     16 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/0
     17 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/1
     18 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     19 root      rt   0       0      0      0 S   0,0   0,0   0:00.13 migrati+
     20 root      20   0       0      0      0 S   0,0   0,0   0:00.16 ksoftir+
     22 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     23 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/2
     24 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     25 root      rt   0       0      0      0 S   0,0   0,0   0:00.14 migrati+
     26 root      20   0       0      0      0 S   0,0   0,0   0:00.17 ksoftir+
     28 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     29 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/3
     30 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     31 root      rt   0       0      0      0 S   0,0   0,0   0:00.14 migrati+
     32 root      20   0       0      0      0 S   0,0   0,0   0:00.09 ksoftir+
     34 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     35 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/4
     36 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     37 root      rt   0       0      0      0 S   0,0   0,0   0:00.14 migrati+
     38 root      20   0       0      0      0 S   0,0   0,0   0:00.13 ksoftir+
     40 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     41 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/5
     42 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     43 root      rt   0       0      0      0 S   0,0   0,0   0:00.15 migrati+
     44 root      20   0       0      0      0 S   0,0   0,0   0:00.06 ksoftir+
     46 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     47 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/6
     48 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     49 root      rt   0       0      0      0 S   0,0   0,0   0:00.15 migrati+
     50 root      20   0       0      0      0 S   0,0   0,0   0:00.10 ksoftir+
     52 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     53 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/7
     54 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     55 root      rt   0       0      0      0 S   0,0   0,0   0:00.15 migrati+
     56 root      20   0       0      0      0 S   0,0   0,0   0:00.10 ksoftir+
     58 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     59 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kdevtmp+
     60 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 netns
     61 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 inet_fr+
