top - 16:30:17 up  2:40,  1 user,  load average: 0,32, 0,31, 0,31
Tasks: 325 total,   1 running, 318 sleeping,   6 stopped,   0 zombie
%Cpu(s):  6,6 us,  2,2 sy,  0,0 ni, 91,2 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :   7856,4 total,   4231,7 free,   1371,0 used,   2253,7 buff/cache
MiB Swap:   1335,2 total,   1335,2 free,      0,0 used.   6029,5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  43997 root      20   0  408684  18036  10312 S  43,8   0,2   0:00.07 gst-launch-1.0
     13 root      20   0       0      0      0 I   6,2   0,0   0:12.33 rcu_sched
    121 root      20   0       0      0      0 I   6,2   0,0   0:08.79 kworker/5:1-events
    964 root      20   0  117452   5356   2692 S   6,2   0,1   0:59.04 dynamips
   2852 christi+  20   0  775844  64836  35440 S   6,2   0,8   3:42.26 Xorg
   3004 christi+  20   0 4544076 234992  83872 S   6,2   2,9   3:55.17 gnome-shell
   4315 christi+  20   0  848624  76884  49804 S   6,2   1,0   1:48.02 gnome-terminal-
  38524 root      20   0   18556   3144   1940 S   6,2   0,0   0:01.51 mount.ntfs
  43995 root      20   0   20620   4084   3436 R   6,2   0,1   0:00.02 top
      1 root      20   0  168628  12552   8424 S   0,0   0,2   0:02.60 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.01 kthreadd
      3 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_par_gp
      6 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/0:0H-even+
      9 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 mm_percpu_wq
     10 root      20   0       0      0      0 S   0,0   0,0   0:00.00 rcu_tasks_rude_
     11 root      20   0       0      0      0 S   0,0   0,0   0:00.00 rcu_tasks_trace
     12 root      20   0       0      0      0 S   0,0   0,0   0:00.59 ksoftirqd/0
     14 root      rt   0       0      0      0 S   0,0   0,0   0:00.05 migration/0
     15 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_inject/0
     16 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/0
     17 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/1
     18 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_inject/1
     19 root      rt   0       0      0      0 S   0,0   0,0   0:00.16 migration/1
     20 root      20   0       0      0      0 S   0,0   0,0   0:00.23 ksoftirqd/1
     22 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/1:0H-kblo+
     23 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/2
     24 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_inject/2
     25 root      rt   0       0      0      0 S   0,0   0,0   0:00.17 migration/2
     26 root      20   0       0      0      0 S   0,0   0,0   0:00.24 ksoftirqd/2
     28 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/2:0H-even+
     29 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/3
     30 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_inject/3
     31 root      rt   0       0      0      0 S   0,0   0,0   0:00.17 migration/3
