top - 16:15:45 up  2:09,  1 user,  load average: 0,75, 0,57, 0,54
Tasks: 328 total,   1 running, 327 sleeping,   0 stopped,   0 zombie
%Cpu(s): 17,3 us,  4,5 sy,  0,0 ni, 78,2 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :   7856,4 total,   2997,5 free,   1782,2 used,   3076,7 buff/cache
MiB Swap:   1335,2 total,   1335,2 free,      0,0 used.   5456,4 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  41761 root      20   0  431076  49496  10964 S  93,8   0,6   0:00.16 gst-lau+
   3327 christi+  20   0 4609908 238260  83360 S  18,8   3,0   3:49.51 gnome-s+
    912 message+  20   0   10204   6960   3936 S  12,5   0,1   0:11.28 dbus-da+
    914 root      20   0  493552  21920  17212 S  12,5   0,3   0:27.73 Network+
   1944 geoclue   20   0  911232  21304  14820 S   6,2   0,3   0:06.23 geoclue
   3475 christi+  20   0  473568  10872   8940 S   6,2   0,1   0:03.58 gsd-sha+
  27137 root      20   0       0      0      0 I   6,2   0,0   0:13.28 kworker+
      1 root      20   0  168648  12652   8508 S   0,0   0,2   0:02.52 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kthreadd
      3 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_par+
      6 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
      9 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 mm_perc+
     10 root      20   0       0      0      0 S   0,0   0,0   0:00.00 rcu_tas+
     11 root      20   0       0      0      0 S   0,0   0,0   0:00.00 rcu_tas+
     12 root      20   0       0      0      0 S   0,0   0,0   0:00.66 ksoftir+
     13 root      20   0       0      0      0 I   0,0   0,0   0:11.27 rcu_sch+
     14 root      rt   0       0      0      0 S   0,0   0,0   0:00.04 migrati+
     15 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     16 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/0
     17 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/1
     18 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     19 root      rt   0       0      0      0 S   0,0   0,0   0:00.15 migrati+
     20 root      20   0       0      0      0 S   0,0   0,0   0:00.27 ksoftir+
     22 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     23 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/2
     24 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     25 root      rt   0       0      0      0 S   0,0   0,0   0:00.16 migrati+
     26 root      20   0       0      0      0 S   0,0   0,0   0:00.28 ksoftir+
     28 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     29 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/3
     30 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     31 root      rt   0       0      0      0 S   0,0   0,0   0:00.16 migrati+
     32 root      20   0       0      0      0 S   0,0   0,0   0:00.15 ksoftir+
     34 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     35 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/4
     36 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     37 root      rt   0       0      0      0 S   0,0   0,0   0:00.16 migrati+
     38 root      20   0       0      0      0 S   0,0   0,0   0:00.21 ksoftir+
